date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:16	76443/76443	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-12a9b%22	https://themewagon.github.io/clyde/images/image_2.jpg	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/images/image_2.jpg	(from https://themewagon.github.io/clyde/)
18:26:16	67519/67519	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-107bf%22	https://themewagon.github.io/clyde/images/image_3.jpg	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/images/image_3.jpg	(from https://themewagon.github.io/clyde/)
18:26:17	268038/268038	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-41706%22	https://themewagon.github.io/clyde/js/jquery.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.min.js	(from https://themewagon.github.io/clyde/)
18:26:17	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-2c9d%22	https://themewagon.github.io/clyde/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery-migrate-3.0.1.min.js	(from https://themewagon.github.io/clyde/)
18:26:17	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-4a58%22	https://themewagon.github.io/clyde/js/popper.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/popper.min.js	(from https://themewagon.github.io/clyde/)
18:26:17	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-e2d8%22	https://themewagon.github.io/clyde/js/bootstrap.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/bootstrap.min.js	(from https://themewagon.github.io/clyde/)
18:26:18	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1faf%22	https://themewagon.github.io/clyde/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.easing.1.3.js	(from https://themewagon.github.io/clyde/)
18:26:18	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-2283%22	https://themewagon.github.io/clyde/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.waypoints.min.js	(from https://themewagon.github.io/clyde/)
18:26:18	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-3135%22	https://themewagon.github.io/clyde/js/jquery.stellar.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.stellar.min.js	(from https://themewagon.github.io/clyde/)
18:26:18	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-a8e5%22	https://themewagon.github.io/clyde/js/owl.carousel.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/owl.carousel.min.js	(from https://themewagon.github.io/clyde/)
18:26:18	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-4ef8%22	https://themewagon.github.io/clyde/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.magnific-popup.min.js	(from https://themewagon.github.io/clyde/)
18:26:19	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-56f%22	https://themewagon.github.io/clyde/js/jquery.animateNumber.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/jquery.animateNumber.min.js	(from https://themewagon.github.io/clyde/)
18:26:19	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1d17%22	https://themewagon.github.io/clyde/js/scrollax.min.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/scrollax.min.js	(from https://themewagon.github.io/clyde/)
18:26:19	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-79a%22	https://themewagon.github.io/clyde/js/google-map.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/google-map.js	(from https://themewagon.github.io/clyde/)
18:26:19	6691/6691	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1a23%22	https://themewagon.github.io/clyde/js/main.js	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/js/main.js	(from https://themewagon.github.io/clyde/)
18:26:20	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/css/owl.video.play.png	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/css/owl.video.play.png	(from https://themewagon.github.io/clyde/css/owl.carousel.min.css)
18:26:20	10110/10110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639fee36-277e%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot	(from https://themewagon.github.io/clyde/css/flaticon.css)
18:26:20	10110/10110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639fee36-277e%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot?	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/fonts/flaticon/font/Flaticond41d.eot	(from https://themewagon.github.io/clyde/css/flaticon.css)
18:26:21	6460/6460	---M--	200	added ('OK')	font/woff	etag:%22639fee36-193c%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.woff	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.woff	(from https://themewagon.github.io/clyde/css/flaticon.css)
18:26:21	9932/9932	---M-Z	200	added ('OK')	font/ttf	etag:W/%22639fee36-26cc%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.ttf	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.ttf	(from https://themewagon.github.io/clyde/css/flaticon.css)
18:26:22	56204/56204	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639fee36-db8c%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.svg	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.svg	(from https://themewagon.github.io/clyde/css/flaticon.css)
18:26:22	117315/117315	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1ca43%22	https://themewagon.github.io/clyde/images/bg_4.jpg	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/images/bg_4.jpg	(from https://themewagon.github.io/clyde/single.html)
18:26:22	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/blog.html	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/blog.html	(from https://themewagon.github.io/clyde/single.html)
18:26:23	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/images/image_4.jpg	C:/My%20Web%20Sites/portfolio-2/themewagon.github.io/clyde/images/image_4.jpg	(from https://themewagon.github.io/clyde/single.html)
